column,method,seed,mae,rmse,mse,r2,mape,median_absolute_error,bias,percentage_bias,variance_distortion,std_distortion,ks_statistic,wasserstein_distance,correlation_preservation,distribution_similarity,runtime_seconds
weekend_flag,mean,11,0.4012345679012345,0.44790320823880836,0.20061728395061731,0.0,72.22222222222221,0.2777777777777778,-4.934324553889585e-18,-1.7763568394002505e-15,0.9999999501538487,0.9999999776737482,0.7222222222222222,0.4012345679012346,1.5423096437751468e-16,0.2777777777777778,0.005742400004237425
weekend_flag,mean,29,0.4056515775034293,0.45341428578696985,0.20558451455570798,-0.0007419278252611683,72.34567901234568,0.2765432098765432,-0.012345679012345677,-4.2735042735042725,0.9999999513221178,0.9999999779369353,0.7111111111111111,0.4056515775034293,0.0,0.28888888888888886,0.003699699998833239
weekend_flag,median,11,0.2777777777777778,0.5270462766947299,0.2777777777777778,-0.3846153846153846,100.0,0.0,-0.2777777777777778,-100.0,0.9999999501538487,0.9999999776737483,0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,0.004316200000175741
weekend_flag,median,29,0.28888888888888886,0.5374838498865699,0.28888888888888886,-0.40625,100.0,0.0,-0.28888888888888886,-100.0,0.9999999513221178,0.9999999779369353,0.28888888888888886,0.28888888888888886,0.0,0.7111111111111111,0.003997200001322199
weekend_flag,mode,11,0.2777777777777778,0.5270462766947299,0.2777777777777778,-0.3846153846153846,100.0,0.0,-0.2777777777777778,-100.0,0.9999999501538487,0.9999999776737483,0.2777777777777778,0.2777777777777778,0.0,0.7222222222222222,0.005831499998748768
weekend_flag,mode,29,0.28888888888888886,0.5374838498865699,0.28888888888888886,-0.40625,100.0,0.0,-0.28888888888888886,-100.0,0.9999999513221178,0.9999999779369353,0.28888888888888886,0.28888888888888886,0.0,0.7111111111111111,0.0067885000025853515
weekend_flag,forward_fill,11,0.2740740740740741,0.5235208439728777,0.2740740740740741,-0.36615384615384605,52.0,0.0,-0.014814814814814815,-5.333333333333333,0.033914528224021474,0.017103529950319264,0.014814814814814836,0.014814814814814836,0.3057420896163976,0.9851851851851852,0.030789500000537373
weekend_flag,forward_fill,29,0.31296296296296294,0.5594309277855157,0.31296296296296294,-0.5234375,60.256410256410255,0.0,-0.03518518518518519,-12.179487179487179,0.0783420100753656,0.0399697984936472,0.03518518518518521,0.03518518518518521,0.21053858233253187,0.9648148148148148,0.02295400000002701
weekend_flag,backward_fill,11,0.3074074074074074,0.55444333110554,0.3074074074074074,-0.5323076923076921,58.666666666666664,0.0,-0.018518518518518517,-6.666666666666667,0.04273504060486549,0.021600818577277657,0.0185185185185186,0.01851851851851849,0.21804324603815908,0.9814814814814814,0.023358200000075158
weekend_flag,backward_fill,29,0.27037037037037037,0.519971509191004,0.27037037037037037,-0.31610576923076916,51.28205128205128,0.0,-0.025925925925925925,-8.974358974358974,0.05655715536657571,0.028690140526718776,0.025925925925925908,0.025925925925925908,0.32461781820679814,0.9740740740740741,0.022689299999910872
weekend_flag,linear_interpolation,11,0.2851851851851852,0.39648662788363365,0.15720164609053497,0.21641025641025646,54.333333333333336,0.4166666666666667,-0.016666666666666666,-6.0,0.6762563765476309,0.43101528957781354,0.2777777777777778,0.24753086419753081,0.47588139081576686,0.7222222222222222,0.02806510000664275
weekend_flag,linear_interpolation,29,0.283641975308642,0.3953822966368463,0.15632716049382714,0.23903245192307698,54.380341880341874,0.33333333333333337,-0.030555555555555555,-10.576923076923077,0.6870868054963756,0.44061357548327734,0.28888888888888886,0.24722222222222223,0.49741142249485065,0.7111111111111111,0.029439500001899432
weekend_flag,time_interpolation,11,0.2851851851851852,0.39648662788363365,0.15720164609053497,0.21641025641025646,54.333333333333336,0.4166666666666667,-0.016666666666666666,-6.0,0.6762563765476309,0.43101528957781354,0.2777777777777778,0.24753086419753081,0.47588139081576686,0.7222222222222222,0.07107640000322135
weekend_flag,time_interpolation,29,0.283641975308642,0.3953822966368463,0.15632716049382714,0.23903245192307698,54.380341880341874,0.33333333333333337,-0.030555555555555555,-10.576923076923077,0.6870868054963756,0.44061357548327734,0.28888888888888886,0.24722222222222223,0.49741142249485065,0.7111111111111111,0.07242120000591967
weekend_flag,polynomial_interpolation,11,0.30894849785966294,0.37463455401231,0.1403510490600024,0.3004040016086035,36.634603018235474,0.28357948020054186,-0.02325033041863648,-8.370118950709132,0.1933925224471676,0.10188671538668201,0.39629629629629626,0.2665757419801303,0.6177984804836535,0.6037037037037037,0.04363029999512946
weekend_flag,polynomial_interpolation,29,0.3053676878740711,0.36503127922137035,0.13324783480999006,0.3513777271869475,37.4054473709072,0.2826499817549807,-0.03513473537021631,-12.162023781997952,0.228132890044273,0.12144032441806728,0.35370370370370374,0.2645300268903635,0.6426734008686164,0.6462962962962963,0.04151949999504723
weekend_flag,knn,11,0.3846815332153806,0.4741416907652836,0.22481034292176186,-0.1205930939484745,66.99220321342099,0.3843296164671578,0.012502626474152847,4.5009455306950255,0.7699774034585135,0.5203933181182419,0.5296296296296297,0.25393688153924415,0.1148948133263127,0.4703703703703703,2.649836899996444
weekend_flag,knn,29,0.37882253234803454,0.4699537457143263,0.22085652311092566,-0.07508283485486644,66.09823775160105,0.3800849829241484,-0.003078396883438118,-1.0655989211901178,0.7753182026639899,0.5259939129115773,0.5037037037037038,0.25534298887094586,0.15785140972959524,0.49629629629629624,2.6609685000003083
weekend_flag,iterative,11,0.3394269691184543,0.40684704087006884,0.16552451466473148,0.17492395767118474,59.593380297591146,0.3001635624916463,-0.0017214676160102523,-0.6197283417636907,0.820449770972245,0.5762663583866727,0.6592592592592592,0.2794886683266914,0.4182921692016104,0.3407407407407408,2.7933568000007654
