column,method,mae_mean,mae_std,rmse_mean,rmse_std,mse_mean,mse_std,r2_mean,r2_std,mape_mean,mape_std,median_absolute_error_mean,median_absolute_error_std,bias_mean,bias_std,percentage_bias_mean,percentage_bias_std,variance_distortion_mean,variance_distortion_std,std_distortion_mean,std_distortion_std,ks_statistic_mean,ks_statistic_std,wasserstein_distance_mean,wasserstein_distance_std,correlation_preservation_mean,correlation_preservation_std,distribution_similarity_mean,distribution_similarity_std,runtime_seconds_mean,runtime_seconds_std,final_score,rank,recommended_method
ICU_beds,backward_fill,1.4935185185185185,0.019641855032959583,2.2044510434909874,0.11078210678839108,4.8657407407407405,0.48842746181959695,0.7341124229941178,0.028452613823556117,21.04614992500961,0.8033643703697013,1.0,0.0,0.006481481481481484,0.1034471031735875,0.09387834348612994,1.3917078506422094,0.02553804897173031,0.024214875364259987,0.012880854719171397,0.012278056698118243,0.02685185185185185,0.003928371006591995,0.15648148148148155,0.006547285010986826,0.8662731324544232,0.012089053619479711,0.9731481481481481,0.003928371006592035,0.021595700000034412,0.00021128351497803847,63.48712159147956,6.0,No
ICU_beds,department_mean,1.2821620031098948,0.009953476642643375,1.822530773052268,0.03636931851105439,3.3222797823869765,0.1325684043626717,0.8185394262688641,0.006032190610472165,18.795663678175124,0.48216253949300414,0.6501290628699712,0.05450157605904262,-0.005761058961948975,0.03664738688585473,-0.07507292680261049,0.4919803909315933,0.18870567959931916,0.02052857782275308,0.09931726732721695,0.011396120435807929,0.4314814814814815,0.007856742013183912,1.2582693092487158,0.004145006494064156,0.9047773101932035,0.003309816389750518,0.5685185185185184,0.007856742013183872,0.01760139999896637,0.0012811360718102231,60.821913079709944,8.0,No
ICU_beds,forward_fill,1.5499999999999998,0.010475656017578418,2.296215709997782,0.054175404630806716,5.274074074074074,0.2487968304174894,0.7118502008141439,0.015511082134072918,21.511455472508814,1.1583294849929247,1.0,0.0,-0.012962962962962968,0.10999438818457406,-0.167129363415069,1.4772058147953837,0.01955806357516835,0.011945176557179422,0.009836506216102478,0.0060319212993476725,0.02407407407407408,0.005237828008789249,0.15925925925925913,0.023570226039551462,0.8546975127824612,0.00857801766979885,0.9759259259259259,0.005237828008789209,0.022350499999447493,4.0305089882588203e-05,62.461408665947445,7.0,No
ICU_beds,hospital_median,2.45,0.02880805404834067,4.497708843150648,0.022126539453203305,20.229629629629628,0.19903746433399255,-0.10511125074564975,0.0182378696829403,24.372098831517626,0.22815309963772254,1.0,0.0,-1.6314814814814813,0.09166199015381173,-21.9295818198364,1.0200141634680198,0.9684249556863466,0.0011347103840163978,0.8223206641379102,0.003193141143854914,0.2324074074074074,0.01178511301977575,1.9555555555555553,0.06285393610547091,0.20301200071187694,0.002159070695681988,0.7675925925925926,0.01178511301977575,0.018733649998466717,0.0010054351376132735,34.19520883359964,10.0,No
ICU_beds,hybrid,2.45,0.02880805404834067,4.497708843150648,0.022126539453203305,20.229629629629628,0.19903746433399255,-0.10511125074564975,0.0182378696829403,24.372098831517626,0.22815309963772254,1.0,0.0,-1.6314814814814813,0.09166199015381173,-21.9295818198364,1.0200141634680198,0.9684249556863466,0.0011347103840163978,0.8223206641379102,0.003193141143854914,0.2324074074074074,0.01178511301977575,1.9555555555555553,0.06285393610547091,0.20301200071187694,0.002159070695681988,0.7675925925925926,0.01178511301977575,0.031730799997603754,0.0019473720709534425,34.17219140183603,11.0,No
ICU_beds,iterative,0.6769963716505298,0.00435588559588056,0.9363008821658012,0.015352563135893301,0.8767771925418782,0.02874923681528603,0.9521099140831253,0.0012512576160528476,9.795720235840125,0.04230768552218331,0.48334090244916283,0.020278156595181146,0.035157491366111696,0.12256240122764779,0.48067649357021347,1.6524495443151517,0.013439883306075049,0.014065199394805687,0.006753765487146242,0.007082588512720649,0.16203703703703703,0.019641855032959673,0.3003133564396263,0.020499373238330412,0.9762103018104917,0.00021351768056981438,0.837962962962963,0.01964185503295962,3.3919265499971516,0.4390842490274997,72.7039948506244,2.0,No
ICU_beds,knn,0.32550743424675566,0.002642724731349558,0.6214702778076928,0.06523722751218763,0.3883532541251094,0.0810859958108058,0.978800359548331,0.004288058381553111,4.946449291410551,0.0909016024923791,0.19418367388324298,0.004170472120643407,0.017873776100308526,0.01325660147209861,0.23945307003193939,0.17591035492731763,0.05932051612926485,0.0136768528788344,0.030126489289921794,0.007050843591737072,0.11018518518518519,0.0013094570021972925,0.24084262371103585,0.0024464323562428986,0.9895555903225544,0.002080963726587762,0.8898148148148148,0.001309457002197371,2.964701900004002,0.17170942668320682,79.3134708522461,1.0,Yes
ICU_beds,linear_interpolation,1.3453703703703703,0.0034918853391928584,1.9184802329177066,0.03292825530369998,3.6811085390946507,0.12634441380923195,0.7988907146260524,0.008241966453758244,19.269179377990476,0.9133579037506765,1.0,0.0,-0.0032407407407407593,0.1067207456790808,-0.03662550996446978,1.4344568327187968,0.09552248292521309,0.0007294640307677385,0.04895980962901954,0.00038350851865000615,0.10648148148148151,0.0013094570021973317,0.3749999999999999,0.007420256345784834,0.8956920885247179,0.00433449432674634,0.8935185185185185,0.0013094570021972532,0.027754499998991378,8.442854429955546e-05,65.44375155504417,4.0,No
ICU_beds,mean,2.9739109891784787,0.009037947671132836,4.2827912762306095,0.01086866360409449,18.342360179681286,0.09309643533580371,-0.0019630387714755226,0.00159248955799125,39.94083050866634,0.8866979779648814,2.257304526748971,0.008002237235649898,-0.1806584362139919,0.08002237235650189,-2.4237747469680557,1.0523952175950109,0.9999999994537344,3.640730393195938e-12,0.9999999976627736,7.788600650546734e-12,0.7675925925925926,0.01178511301977575,2.9739109891784787,0.00903794767113315,1.3848578757792533e-16,5.700114162374024e-17,0.2324074074074074,0.01178511301977575,0.004014649999589892,0.0003483915143027945,10.058962834408536,15.0,No
ICU_beds,median,2.534259259259259,0.019641855032960055,4.514067723343199,0.009427716901840385,20.376851851851853,0.08511470514282382,-0.11313275556054647,0.01206826176335092,27.081202487493712,0.31436253007097237,1.0,0.0,-1.4379629629629629,0.07202013512085215,-19.32897069314502,0.7811195699613267,0.9999999994537344,3.640730393195938e-12,0.999999997662774,7.788600650546734e-12,0.3861111111111111,0.011785113019775828,2.534259259259259,0.019641855032960055,0.0,0.0,0.6138888888888889,0.01178511301977579,0.003933449996111449,6.653875057037153e-05,27.549605507086937,12.0,No
ICU_beds,mode,2.534259259259259,0.019641855032960055,4.514067723343199,0.009427716901840385,20.376851851851853,0.08511470514282382,-0.11313275556054647,0.01206826176335092,27.081202487493712,0.31436253007097237,1.0,0.0,-1.4379629629629629,0.07202013512085215,-19.32897069314502,0.7811195699613267,0.9999999994537344,3.640730393195938e-12,0.999999997662774,7.788600650546734e-12,0.3861111111111111,0.011785113019775828,2.534259259259259,0.019641855032960055,0.0,0.0,0.6138888888888889,0.01178511301977579,0.004281000001356006,0.00011483414103907796,27.548990009956363,13.0,No
ICU_beds,polynomial_interpolation,1.633100207677745,0.003582485356681987,2.300865966547736,0.04883066543710186,5.295176412961164,0.22470563245621253,0.7107018382165667,0.01420274580422176,23.22722171344893,0.6568602093859252,1.2097365671110147,0.04633044287400637,-0.04588760507123199,0.09056527210011742,-0.611071530054101,1.2116916689053452,0.0649003402924131,0.0259573936301278,0.03304106479941348,0.013422179909112458,0.1518518518518519,0.010475656017578498,0.3227701277080776,0.02965050325619804,0.8512336187381753,0.005501721431402778,0.8481481481481481,0.010475656017578498,0.041239199996198295,0.0009072179986953338,59.63632760687929,9.0,No
ICU_beds,rolling_median,1.1861111111111111,0.031426968052735337,1.7485179622857396,0.03332584386013758,3.0578703703703702,0.11654167319556087,0.8329378545183836,0.007479569942635126,17.18827975613798,0.15701720716298512,1.0,0.0,0.06666666666666667,0.09820927516479827,0.9027375356414115,1.3291196588369745,0.05804047543888553,0.008873014987497962,0.029459389381864414,0.00457117140433261,0.1027777777777778,0.011785113019775828,0.4481481481481481,0.05368773709008974,0.914634949154467,0.004483385835356709,0.8972222222222221,0.011785113019775868,0.03454484999747365,0.002254609971064871,67.93760319479046,3.0,No
ICU_beds,seasonal,2.534259259259259,0.019641855032960055,4.514067723343199,0.009427716901840385,20.376851851851853,0.08511470514282382,-0.11313275556054647,0.01206826176335092,27.081202487493712,0.31436253007097237,1.0,0.0,-1.4379629629629629,0.07202013512085215,-19.32897069314502,0.7811195699613267,0.9999999994537344,3.640730393195938e-12,0.999999997662774,7.788600650546734e-12,0.3861111111111111,0.011785113019775828,2.534259259259259,0.019641855032960055,0.0,0.0,0.6138888888888889,0.01178511301977579,0.02021740000054706,0.0004941262151625706,27.520767284238556,14.0,No
ICU_beds,time_interpolation,1.3453703703703703,0.0034918853391928584,1.9184802329177066,0.03292825530369998,3.6811085390946507,0.12634441380923195,0.7988907146260524,0.008241966453758244,19.269179377990476,0.9133579037506765,1.0,0.0,-0.0032407407407407593,0.1067207456790808,-0.03662550996446978,1.4344568327187968,0.09552248292521309,0.0007294640307677385,0.04895980962901954,0.00038350851865000615,0.10648148148148151,0.0013094570021973317,0.3749999999999999,0.007420256345784834,0.8956920885247179,0.00433449432674634,0.8935185185185185,0.0013094570021972532,0.06924129999970319,0.000498651702152154,65.3702800949033,5.0,No
